district,station,nb_event,quantile,pod,far,pofd,csi
baringo,,53,,,,,
bomet,,3,,,,,
bungoma,F0031,24,Q50_pred,0.0,1.0,0.4146341463414634,0.0
bungoma,F0031,24,Q80_pred,0.0,1.0,0.1724137931034483,0.0
bungoma,F0031,24,Q90_pred,0.0,1.0,0.07692307692307693,0.0
busia,F0031,38,Q50_pred,0.02702702702702703,0.9411764705882353,0.3018867924528302,0.018867924528301886
busia,F0031,38,Q80_pred,0.02702702702702703,0.8,0.0975609756097561,0.024390243902439025
busia,F0031,38,Q90_pred,0.02702702702702703,0.5,0.02631578947368421,0.02631578947368421
elgeyo-marakwet,,19,,,,,
embu,G5299,7,Q50_pred,0.3333333333333333,0.8181818181818182,0.6,0.13333333333333333
embu,G5299,7,Q80_pred,0.14285714285714285,0.75,0.3,0.1
embu,G5299,7,Q90_pred,0.0,1.0,0.2222222222222222,0.0
garissa,G5208,46,Q50_pred,0.1,0.6666666666666666,0.16666666666666666,0.08333333333333333
garissa,G5210,46,Q50_pred,0.045454545454545456,0.8333333333333334,0.18518518518518517,0.037037037037037035
garissa,G5305,46,Q50_pred,0.1,0.6923076923076923,0.1836734693877551,0.08163265306122448
garissa,G5208,46,Q80_pred,0.047619047619047616,0.5,0.045454545454545456,0.045454545454545456
garissa,G5210,46,Q80_pred,0.0,1.0,0.08,0.0
garissa,G5305,46,Q80_pred,0.046511627906976744,0.6,0.06521739130434782,0.043478260869565216
garissa,G5208,46,Q90_pred,0.022727272727272728,0.5,0.022222222222222223,0.022222222222222223
garissa,G5210,46,Q90_pred,0.0,1.0,0.041666666666666664,0.0
garissa,G5305,46,Q90_pred,0.021739130434782608,0.5,0.02127659574468085,0.02127659574468085
homa bay,,49,,,,,
isiolo,G5197,63,Q50_pred,0.07017543859649122,0.7142857142857143,0.14925373134328357,0.05970149253731343
isiolo,G5198,63,Q50_pred,0.12244897959183673,0.5,0.10909090909090909,0.10909090909090909
isiolo,G5208,63,Q50_pred,0.034482758620689655,0.8333333333333334,0.14705882352941177,0.029411764705882353
isiolo,G5210,63,Q50_pred,0.01694915254237288,0.9166666666666666,0.15714285714285714,0.014285714285714285
isiolo,G5197,63,Q80_pred,0.05263157894736842,0.4,0.03389830508474576,0.05084745762711865
isiolo,G5198,63,Q80_pred,0.0,1.0,0.05970149253731343,0.0
isiolo,G5208,63,Q80_pred,0.034482758620689655,0.5,0.03333333333333333,0.03333333333333333
isiolo,G5210,63,Q80_pred,0.0,1.0,0.05970149253731343,0.0
isiolo,G5197,63,Q90_pred,0.03389830508474576,0.0,0.0,0.03389830508474576
isiolo,G5198,63,Q90_pred,0.0,1.0,0.03076923076923077,0.0
isiolo,G5208,63,Q90_pred,0.01694915254237288,0.5,0.016666666666666666,0.016666666666666666
isiolo,G5210,63,Q90_pred,0.0,1.0,0.03076923076923077,0.0
kajiado,,48,,,,,
kakamega,F0031,21,Q50_pred,0.0,1.0,0.4594594594594595,0.0
kakamega,F0031,21,Q80_pred,0.0,1.0,0.2,0.0
kakamega,F0031,21,Q90_pred,0.0,1.0,0.09090909090909091,0.0
kericho,,5,,,,,
kiambu,,28,,,,,
kilifi,G5305,60,Q50_pred,0.05357142857142857,0.7692307692307693,0.15151515151515152,0.045454545454545456
kilifi,G5326,60,Q50_pred,0.05555555555555555,0.7692307692307693,0.15625,0.046875
kilifi,G5332,60,Q50_pred,0.10526315789473684,0.625,0.14925373134328357,0.08955223880597014
kilifi,G5305,60,Q80_pred,0.017241379310344827,0.8,0.06451612903225806,0.016129032258064516
kilifi,G5326,60,Q80_pred,0.03571428571428571,0.5,0.034482758620689655,0.034482758620689655
kilifi,G5332,60,Q80_pred,0.017241379310344827,0.75,0.04918032786885246,0.01639344262295082
kilifi,G5305,60,Q90_pred,0.0,1.0,0.03225806451612903,0.0
kilifi,G5326,60,Q90_pred,0.03571428571428571,0.0,0.0,0.03571428571428571
kilifi,G5332,60,Q90_pred,0.0,1.0,0.03225806451612903,0.0
kirinyaga,,17,,,,,
kisii,,16,,,,,
kisumu,,111,,,,,
kitui,G5299,18,Q50_pred,0.1875,0.7272727272727273,0.3333333333333333,0.125
kitui,G5299,18,Q80_pred,0.1111111111111111,0.5,0.1,0.1
kitui,G5299,18,Q90_pred,0.0,1.0,0.1,0.0
kwale,,22,,,,,
laikipia,,15,,,,,
lamu,G5305,7,Q50_pred,0.0,1.0,0.65,0.0
lamu,G5326,7,Q50_pred,0.14285714285714285,0.9230769230769231,0.631578947368421,0.05263157894736842
lamu,G5332,7,Q50_pred,0.2857142857142857,0.875,0.6666666666666666,0.09523809523809523
lamu,G5305,7,Q80_pred,0.0,1.0,0.4166666666666667,0.0
lamu,G5326,7,Q80_pred,0.0,1.0,0.36363636363636365,0.0
lamu,G5332,7,Q80_pred,0.0,1.0,0.36363636363636365,0.0
lamu,G5305,7,Q90_pred,0.0,1.0,0.2222222222222222,0.0
lamu,G5326,7,Q90_pred,0.0,1.0,0.2222222222222222,0.0
lamu,G5332,7,Q90_pred,0.0,1.0,0.2222222222222222,0.0
machakos,G5299,36,Q50_pred,0.0625,0.8181818181818182,0.21951219512195122,0.04878048780487805
machakos,G5299,36,Q80_pred,0.06060606060606061,0.5,0.05714285714285714,0.05714285714285714
machakos,G5299,36,Q90_pred,0.0,1.0,0.05263157894736842,0.0
makueni,,31,,,,,
mandera,,31,,,,,
marsabit,G5170,59,Q50_pred,0.0,1.0,0.21333333333333335,0.0
marsabit,G5171,59,Q50_pred,0.0,1.0,0.18055555555555555,0.0
marsabit,G5173,59,Q50_pred,0.03389830508474576,0.8181818181818182,0.1323529411764706,0.029411764705882353
marsabit,G5170,59,Q80_pred,0.0,1.0,0.078125,0.0
marsabit,G5171,59,Q80_pred,0.0,1.0,0.06349206349206349,0.0
marsabit,G5173,59,Q80_pred,0.01694915254237288,0.75,0.04838709677419355,0.016129032258064516
marsabit,G5170,59,Q90_pred,0.0,1.0,0.03278688524590164,0.0
marsabit,G5171,59,Q90_pred,0.0,1.0,0.03278688524590164,0.0
marsabit,G5173,59,Q90_pred,0.0,1.0,0.03278688524590164,0.0
meru,,38,,,,,
migori,,52,,,,,
mombasa,,28,,,,,
murang'a,,73,,,,,
nairobi,,80,,,,,
nakuru,,40,,,,,
nandi,,14,,,,,
narok,,64,,,,,
nyamira,,1,,,,,
nyandarua,,13,,,,,
nyeri,,13,,,,,
samburu,,20,,,,,
siaya,F0031,20,Q50_pred,0.0,1.0,0.4722222222222222,0.0
siaya,F0031,20,Q80_pred,0.0,1.0,0.20833333333333334,0.0
siaya,F0031,20,Q90_pred,0.0,1.0,0.09523809523809523,0.0
taita taveta,,36,,,,,
tana river,G5305,52,Q50_pred,0.0851063829787234,0.6923076923076923,0.16071428571428573,0.07142857142857142
tana river,G5326,52,Q50_pred,0.08695652173913043,0.6923076923076923,0.16363636363636364,0.07272727272727272
tana river,G5332,52,Q50_pred,0.14583333333333334,0.5625,0.15789473684210525,0.12280701754385964
tana river,G5305,52,Q80_pred,0.0392156862745098,0.6,0.05555555555555555,0.037037037037037035
tana river,G5326,52,Q80_pred,0.041666666666666664,0.5,0.04,0.04
tana river,G5332,52,Q80_pred,0.02,0.75,0.05660377358490566,0.018867924528301886
tana river,G5305,52,Q90_pred,0.0,1.0,0.037037037037037035,0.0
tana river,G5326,52,Q90_pred,0.041666666666666664,0.0,0.0,0.041666666666666664
tana river,G5332,52,Q90_pred,0.02,0.5,0.0196078431372549,0.0196078431372549
tharaka-nithi,G5299,9,Q50_pred,0.125,0.9090909090909091,0.5555555555555556,0.05555555555555555
tharaka-nithi,G5299,9,Q80_pred,0.0,1.0,0.3076923076923077,0.0
tharaka-nithi,G5299,9,Q90_pred,0.0,1.0,0.18181818181818182,0.0
trans nzoia,,27,,,,,
turkana,G5170,77,Q50_pred,0.025974025974025976,0.875,0.15384615384615385,0.02197802197802198
turkana,G5171,77,Q50_pred,0.025974025974025976,0.8461538461538461,0.125,0.022727272727272728
turkana,G5170,77,Q80_pred,0.012987012987012988,0.8,0.04938271604938271,0.012345679012345678
turkana,G5171,77,Q80_pred,0.025974025974025976,0.5,0.02531645569620253,0.02531645569620253
turkana,G5170,77,Q90_pred,0.012987012987012988,0.5,0.01282051282051282,0.01282051282051282
turkana,G5171,77,Q90_pred,0.0,1.0,0.02531645569620253,0.0
uasin gishu,,19,,,,,
vihiga,,3,,,,,
wajir,G5208,25,Q50_pred,0.05263157894736842,0.9166666666666666,0.36666666666666664,0.03333333333333333
wajir,G5210,25,Q50_pred,0.045454545454545456,0.9166666666666666,0.3333333333333333,0.030303030303030304
wajir,G5208,25,Q80_pred,0.05263157894736842,0.75,0.13636363636363635,0.045454545454545456
wajir,G5210,25,Q80_pred,0.0,1.0,0.14285714285714285,0.0
wajir,G5208,25,Q90_pred,0.045454545454545456,0.5,0.043478260869565216,0.043478260869565216
wajir,G5210,25,Q90_pred,0.0,1.0,0.07692307692307693,0.0
west pokot,,29,,,,,
